Domain,Phylum,Class,Order,Family,Genus,Species
d__Bacteria,p__Mycoplasmatota,NA,o__Mycoplasmoidales,NA,NA,NA
d__Bacteria,p__Mycoplasmatota,NA,o__Mycoplasmoidales,f__Metamycoplasmataceae,g__Metamycoplasma,s__[Mycoplasma] phocidae
d__Bacteria,p__Cyanobacteriota,c__Cyanophyceae,o__Oscillatoriales,NA,g__Koinonema,s__[Phormidium] sp. ETS-05
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,NA,s__Abyssogena phaseoliformis symbiont
d__Bacteria,p__Bacillota,c__Clostridia,o__Halanaerobiales,NA,g__Anoxybacter,s__Anoxybacter fermentans
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Aquabacterium,s__Aquabacterium olei
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Aquabacterium,s__Aquabacterium sp. J223
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,f__Bacillaceae,NA,s__Bacillaceae bacterium MEBiC13591
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,f__Bacillaceae,NA,s__Bacillaceae bacterium MEBiC13594
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,NA,s__Bathymodiolus septemdierum thioautotrophic gill symbiont
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,NA,s__Bathymodiolus thermophilus thioautotrophic gill symbiont
d__Bacteria,p__Candidatus Absconditabacteria,NA,o__Candidatus Absconditabacterales,f__Candidatus Absconditicoccaceae,g__Candidatus Absconditicoccus,s__Candidatus Absconditicoccus praedator
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Azoamicus,s__Candidatus Azoamicus ciliaticola
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,NA,g__Candidatus Azobacteroides,s__Candidatus Azobacteroides pseudotrichonymphae
d__Bacteria,NA,c__Candidatus Babeliae,o__Candidatus Babeliales,f__Candidatus Babeliaceae,g__Candidatus Babela,s__Candidatus Babela massiliensis
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Baumannia,s__Candidatus Baumannia cicadellinicola
d__Bacteria,p__Candidatus Bipolaricaulota,NA,NA,NA,g__Candidatus Bipolaricaulis,s__Candidatus Bipolaricaulis anaerobius
d__Bacteria,NA,NA,NA,f__Candidatus Chazhemtobacteraceae,g__Candidatus Chazhemtobacterium,s__Candidatus Chazhemtobacterium aquaticus
d__Bacteria,NA,c__Candidatus Babeliae,o__Candidatus Babeliales,f__Candidatus Chromulinivoraceae,g__Candidatus Chromulinivorax,s__Candidatus Chromulinivorax destructor
d__Bacteria,p__Candidatus Cloacimonetes,NA,NA,NA,g__Candidatus Cloacimonas,s__Candidatus Cloacimonas acidaminovorans
d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,NA,NA,g__Dehalogenimonas,s__Candidatus Dehalogenimonas etheniformans
d__Bacteria,p__Pseudomonadota,c__Deltaproteobacteria,NA,f__Candidatus Desulfofervidaceae,g__Candidatus Desulfofervidus,s__Candidatus Desulfofervidus auxilii
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Endoriftia,s__Candidatus Endoriftia persephone
d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Pelagibacterales,NA,g__Candidatus Fonsibacter,s__Candidatus Fonsibacter ubiquis
d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,NA,g__Candidatus Hodgkinia,s__Candidatus Hodgkinia cicadicola
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Candidatus Ichthyocystis,s__Candidatus Ichthyocystis hellenicum
d__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,NA,g__Candidatus Karelsulcia,s__Candidatus Karelsulcia muelleri
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Kinetoplastibacterium,s__Candidatus Kinetoplastibacterium blastocrithidii
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Kinetoplastibacterium,s__Candidatus Kinetoplastibacterium crithidii
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Kinetoplastibacterium,s__Candidatus Kinetoplastibacterium desouzaii
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Kinetoplastibacterium,s__Candidatus Kinetoplastibacterium galatii
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Kinetoplastibacterium,s__Candidatus Kinetoplastibacterium oncopeltii
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Kinetoplastibacterium,s__Candidatus Kinetoplastibacterium sorsogonicusi
d__Bacteria,p__Candidatus Saccharibacteria,NA,NA,NA,g__Candidatus Minimicrobia,s__Candidatus Minimicrobia vallesae
d__Bacteria,p__Candidatus Saccharibacteria,NA,NA,NA,g__Candidatus Mycosynbacter,s__Candidatus Mycosynbacter amalyticus
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Nardonella,s__Candidatus Nardonella dryophthoridicola
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Nasuia,s__Candidatus Nasuia deltocephalinicola
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Profftella,s__Candidatus Profftella armatura
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,NA,g__Candidatus Profftella,s__Candidatus Profftella armatura (Diaphorina cf. continua)
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Pseudothioglobus,s__Candidatus Pseudothioglobus singularis
